time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-01-08T13:51:59.340Z,18.7483,-66.5781,57,2.59,md,5,299,0.4385,0.22,pr,pr2019008013,2019-01-08T17:31:50.884Z,"32km N of Garrochales, Puerto Rico",earthquake,2.64,2.74,0.22,3,reviewed,pr,pr
2019-01-08T13:13:18.415Z,61.4696,-149.9832,21.1,2.7,ml,,,,0.85,ak,ak019dg48kl,2019-01-08T14:11:13.040Z,"3km E of Big Lake, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-01-08T12:39:31.040Z,30.5926,131.0371,35,6.3,mww,,26,2.528,0.64,us,us2000j1d4,2019-01-10T13:06:24.372Z,"16km SSE of Nishinoomote, Japan",earthquake,6.3,1.9,0.063,24,reviewed,us,us
2019-01-08T12:16:45.360Z,23.19,121.6187,25.27,4.9,mww,,47,0.357,1.36,us,us2000j1cx,2019-01-08T23:51:47.399Z,"68km NE of Taitung City, Taiwan",earthquake,5.4,1.6,0.08,15,reviewed,us,us
2019-01-08T11:05:16.100Z,-10.5278,108.515,10,4.7,mb,,114,2.816,1.27,us,us2000j1ch,2019-01-09T16:19:50.599Z,"300km S of Sindangsari, Indonesia",earthquake,7.9,1.9,0.096,33,reviewed,us,us
2019-01-08T10:00:09.610Z,-4.6448,-73.9994,10,5.1,mww,,109,3.324,0.91,us,us2000j1c8,2019-01-08T18:10:50.377Z,"53km W of Saquena, Peru",earthquake,5.6,1.6,0.073,18,reviewed,us,us
2019-01-08T09:54:49.210Z,-7.7501,106.5252,65.71,5.2,mb,,102,2.846,1.26,us,us2000j1c6,2019-01-08T15:21:28.103Z,"41km S of Cibungur, Indonesia",earthquake,6.9,6.9,0.063,82,reviewed,us,us
2019-01-08T09:51:55.630Z,19.3838333,-155.055,6.7,2.57,ml,55,156,0.02649,0.13,hv,hv70760926,2019-01-08T19:46:40.510Z,"14km S of Fern Acres, Hawaii",earthquake,0.39,0.36,0.216,33,reviewed,hv,hv
2019-01-08T09:37:42.370Z,18.6453,-66.9018,28,2.54,md,7,281,0.3332,0.39,pr,pr2019008011,2019-01-08T12:14:15.620Z,"18km NNW of Camuy, Puerto Rico",earthquake,2.23,5.67,0.19,7,reviewed,pr,pr
2019-01-08T08:57:23.660Z,19.3356,-68.1676,86,3.01,md,14,233,0.8491,0.62,pr,pr2019008010,2019-01-08T12:13:47.222Z,"87km NNE of Punta Cana, Dominican Republic",earthquake,7.41,10.31,0.34,12,reviewed,pr,pr
